,rank,regularization,RMSE
0,1,0.01,1.2203714219291921
1,1,0.1,0.9426352871071272
2,1,0.5,0.97006305759737
3,1,1.0,1.1605988016399977
4,2,0.01,1.6709667407267765
5,2,0.1,1.0548418391514918
6,2,0.5,0.9742104489929724
7,2,1.0,1.1665825462552522
8,5,0.01,1.9068376402766296
9,5,0.1,1.1708460671678498
10,5,0.5,0.99700671640925
11,5,1.0,1.1759546520055224
12,10,0.01,1.7142197990656498
13,10,0.1,1.2132874789047756
14,10,0.5,1.0089924403163415
15,10,1.0,1.1814743889535195
16,50,0.01,1.2180809511610633
17,50,0.1,1.1852122845886175
18,50,0.5,1.0173035697733321
19,50,1.0,1.1859348616951895
20,250,0.01,1.0437944197375646
21,250,0.1,1.156435459824209
22,250,0.5,1.019579880096637
23,250,1.0,1.1868895948139433
